Entity_1,Entity_2,Relation,Mode,Evidence_PMID,Evidence_Sents,Confirmation_without_context,Confirmation_with_context,Human
Radix Rehmanniae,angiogenesis,pos,direct,19429355,"CONCLUSIONS: Our results demonstrated for the first time that Radix Rehmanniae was effective in promoting diabetic foot ulcer healing in rats through the processes of tissue regeneration, angiogenesis and inflammation control, but not glycemia control.",Unknown - The role of Radix Rehmanniae in angiogenesis is not well established.,True: The context supports that Radix Rehmanniae promotes angiogenesis.,TRUE
FST,angiogenesis,neg,direct,18245525,"CONCLUSIONS: These results suggest that FST plays a critical role in the production of multiple-organ metastasis, predominantly by inhibiting the angiogenesis.",Unknown - The role of FST (Follistatin) in reducing angiogenesis is not well established.,True: The context indicates that FST reduces angiogenesis.,TRUE
exosomal KLF3-AS1,apoptosis,neg,direct,34742784,"RESULTS: BMSC-derived exosomal KLF3-AS1 sufficiently promoted proliferation, migration, and tube formation, while inhibited apoptosis of HUVECs challenged by high glucose.",Unknown - The effect of exosomal KLF3-AS1 on apoptosis is not well established.,Statement: False - The context suggests exosomal KLF3-AS1 inhibits apoptosis.,TRUE
Aspartame,angiogenesis,pos,direct,24925367,Aspartame induces angiogenesis in vitro and in vivo models.,Unknown - The role of Aspartame in promoting angiogenesis is not well established.,True: The context suggests that Aspartame induces angiogenesis.,TRUE
TUG1,osteoblast cell apoptosis,neg,inferred,36060124,Downregulation of TUG1 inhibited osteoblast CP and CM and promoted osteoblast cell apoptosis .,True - TUG1 can reduce osteoblast cell apoptosis.,Statement: TUG1 reduces osteoblast cell apoptosis. (False - Context reveals that downregulation of TUG1 promotes osteoblast cell apoptosis.),TRUE
Angiogenin,Fibroblast Proliferation,neg,direct,29369907,Angiogenin Attenuates Scar Formation in Burn Patients by Reducing Fibroblast Proliferation and Transforming Growth Factor Î²1 Secretion.,Unknown - The role of angiogenin in fibroblast proliferation is unclear.,True - Angiogenin is stated to reduce fibroblast proliferation according to the context.,TRUE
5-HT2A receptor antagonists,apoptosis,pos,direct,23362947,5-HT2A receptor antagonists  inhibited viability and wound healing in LX-2 cells and induced apoptosis.,Unknown - The effect of 5-HT2A receptor antagonists on apoptosis is not well established.,Statement: False - The context suggests 5-HT2A receptor antagonists induce apoptosis.,TRUE
YY1,angiogenesis,pos,direct,34713723,"YY1 alleviated cardiac apoptosis and fibrosis, promoted angiogenesis, T helper 2 cytokine production, and M2 macrophage polarization in the post-MI heart, it also enhanced the tube formation and migration ability of endothelial cells.",Unknown - The role of YY1 (Yin Yang 1) in promoting angiogenesis is not well established.,True: The context supports that YY1 promotes angiogenesis.,TRUE
hydrogel,angiogenesis,pos,direct,32349080,"Using a collagen-based hydrogel  capable of cellular support previously developed by our laboratory, we hypothesize that our hydrogel will increase the speed of wound healing by providing a 3-dimensional framework for cellular support, increasing angiogenesis and cell-proliferation at the wound bed.",False - Hydrogel can be used to deliver growth factors or cells that promote angiogenesis.,True: The context supports that hydrogel promotes angiogenesis.,TRUE
anti-TGF-beta1 treatment,alpha-procollagen synthesis,neg,direct,16377416,It is not known whether anti-TGF-beta1 treatment specifically inhibits alpha-procollagen synthesis.,True - Anti-TGF-beta1 treatment can reduce alpha-procollagen synthesis.,Unknown: The context does not confirm whether anti-TGF-beta1 treatment specifically inhibits alpha-procollagen synthesis.,Unknown
