Entity_1,Entity_2,Relation,Mode,Evidence_PMID,Evidence_Sents,Confirmation_without_context,Confirmation_with_context
MMC,fibroblast proliferation,neg,direct,22170604,"We, therefore, concluded that MMC and chitosan could prevent intraarticular adhesion of the knee in rabbits by inhibiting fibroblast proliferation and reducing collagenous fiber formation while MMC had a better preventive effect than that of chitosan.",True - Mitomycin C (MMC) is known to reduce fibroblast proliferation.,True: The context suggests that MMC (Mitomycin C) reduces fibroblast proliferation.
fibroblast growth factor,fibroblast proliferation,pos,direct,23108135,"It has been reported that basic fibroblast growth factor  promotes the healing of skin ulceration by inducing fibroblast proliferation, yet the role of bFGF on epidermal barrier function, especially from the perspective of scratch-induced skin abrasion, remains unknown.",True - Fibroblast growth factor (FGF) is known to promote fibroblast proliferation.,True: The context suggests that basic fibroblast growth factor promotes fibroblast proliferation.
AGM-1470,fibroblast proliferation,neg,direct,7523160,Tenon's fibroblast proliferation was significantly inhibited by AGM-1470 as seen in the four higher concentrations  with insignificant inhibition at the lowest concentration of AGM-1470 .,True - AGM-1470 is a potent inhibitor of fibroblast proliferation.,True: The context suggests that AGM-1470 reduces fibroblast proliferation.
DMSO,fibroblast proliferation,pos,direct,32167156,KEY RESULTS: We found that low-concentration DMSO significantly accelerated skin wound closure by promoting fibroblast proliferation in both nondiabetic and diabetic mice.,"False - Dimethyl sulfoxide (DMSO) itself does not promote cell proliferation. It's often used as a solvent in biological studies, but its effect on cell proliferation is not direct.",True - The given context suggests that DMSO at low concentrations can promote fibroblast proliferation.
5-fluorouracil,fibroblast proliferation,neg,direct,11767473,It is shown in vitro that fibroblast proliferation may be inhibited by 5-fluorouracil .,"True - 5-fluorouracil (5-FU) is a chemotherapeutic agent that inhibits cell proliferation, including fibroblasts.",True: The context suggests that 5-fluorouracil reduces fibroblast proliferation.
Î²2-Adrenergic Receptors,Fibroblast Proliferation,pos,direct,33198112,Î²2-Adrenergic Receptors Increase Cardiac Fibroblast Proliferation Through the GÎ±s/ERK1/2-Dependent Secretion of Interleukin-6.,Unknown - The role of β2-Adrenergic Receptors in promoting fibroblast proliferation is unclear.,True - The context shows that Î²2-Adrenergic Receptors increase cardiac fibroblast proliferation via a specific signaling pathway.
HCPT,fibroblast proliferation,neg,direct,25724440,"Topical application of HCPT could reduce intra-articular scar adhesion in rabbits, but HCPT with concentrations above 1.0Â mg/ml may affect the wound healing process by inhibiting the angiogenesis and fibroblast proliferation.","True - Hydroxycamptothecin (HCPT) is known to reduce cell proliferation, including fibroblasts.",True: The context suggests that HCPT (Hydroxycamptothecin) reduces fibroblast proliferation.
honokiol,fibroblast proliferation,neg,direct,33125121,"InÂ vitro, it was found that honokiol inhibited excessive fibroblast proliferation induced by transforming growth factorâÎ²1  and the synthesis of extracellular matrix  components, including fibronectin and typeÂ I collagen, in a doseâdependent manner.","True - Honokiol has been shown to reduce cell proliferation, including fibroblasts.",True: The context suggests that honokiol reduces fibroblast proliferation.
Growth factors,fibroblast proliferation,pos,direct,21351700,Growth factors may promote fibroblast proliferation and collagen deposition.,"True - Growth factors generally promote cell proliferation, including fibroblasts.",True: The context suggests that growth factors promote fibroblast proliferation.
GDF-10,fibroblast proliferation,pos,direct,36714584,"Specifically, GDF-10 exerted a significant diminishing effect on fasting blood glucose level, and promoted wound healing in DFU rats, in addition to up-regulation of VEGF, FGF, Ang-1, TGF-Î²1, Smad3 and enhancement of IL-1b, IL-6, TNF-a and MMP-9, thereby promoting fibroblast proliferation, collagen deposition and angiogenesis.",Unknown - The role of Growth/differentiation factor 10 (GDF-10) in fibroblast proliferation is unclear.,True - The given context suggests that GDF-10 can promote fibroblast proliferation.
Nindetanib,fibroblast proliferation,neg,direct,36870440,"CONCLUSION: It has been observed that Nindetanib suppress fibroblast proliferation Thus, It may be a drug that can prevent subconjunctival fibrosis in GFC.","True - Nintedanib, a multi-targeted tyrosine kinase inhibitor, is known to reduce fibroblast proliferation.",True: The context suggests that Nindetanib reduces fibroblast proliferation.
DP,fibroblast proliferation,pos,direct,29428295,DP at treatment of 12-24Â h significantly induced fibroblast proliferation which is associated with increasing level of phosphorylated-extracellular signal-regulated kinase .,Unknown - It's unclear what DP refers to in this context.,"True - According to the context, DP can significantly induce fibroblast proliferation."
DP,fibroblast proliferation,pos,direct,29428295,"Moreover, if ERK is halted with siRNA, DP cannot induce fibroblast proliferation.",Unknown - It's unclear what DP refers to in this context.,"True - If ERK is halted with siRNA, DP cannot induce fibroblast proliferation as per the provided context."
Growth factors,fibroblast proliferation,pos,direct,29111069,"Growth factors facilitate fibroblast proliferation and differentiation, which leads to haze intensity.","True - Growth factors generally promote cell proliferation, including fibroblasts.",True: The context suggests that growth factors promote fibroblast proliferation.
Sox9,fibroblast proliferation,pos,inferred,31310588,"Importantly, Sox9 deletion in isolated cardiac fibroblasts in vitro similarly affected gene expression as in the cardiac scar and reduced fibroblast proliferation, migration and contraction capacity.",Unknown - The effect of Sox9 on fibroblast proliferation is unclear.,"True - The context suggests that the deletion of Sox9 reduces fibroblast proliferation, implying that Sox9 promotes fibroblast proliferation."
leptin level,fibroblast proliferation,pos,direct,26242831,"Our results suggest that dermal fibroblast proliferation is upregulated by HCF due to increased leptin level at the wound surface, and these effects promote wound healing.",Unknown - The effect of leptin levels on fibroblast proliferation is unclear.,"True - As per the context, increased leptin levels due to HCF can upregulate dermal fibroblast proliferation."
thrombin,fibroblast proliferation,pos,direct,35546767,RESULTS: We found that thrombin promoted fibroblast proliferation and their Î±-SMA and Collagen I production.,True - Thrombin has been shown to promote fibroblast proliferation.,True: The context suggests that thrombin promotes fibroblast proliferation.
Asiaticoside,fibroblast proliferation,neg,direct,21240513,Asiaticoside decreased fibroblast proliferation in a time- and dose-dependent manner.,True - Asiaticoside has been reported to reduce fibroblast proliferation.,True: The context suggests that Asiaticoside reduces fibroblast proliferation.
Steroids,fibroblast proliferation,neg,direct,31953943,"CONCLUSIONS: Steroids and NSAID may have negative effects on tracheal wound healing, probably by suppressing inflammation and fibroblast proliferation.",True - Steroids are known to reduce fibroblast proliferation.,True: The context suggests that Steroids reduce fibroblast proliferation.
Flii,fibroblast proliferation,neg,direct,23178274,"Flii depleted chronic wound fluid no longer inhibited fibroblast proliferation, suggesting that Flii may contribute to the inhibitory effect of chronic wound fluid on fibroblast function.",True - Flightless I (Flii) has been shown to reduce fibroblast proliferation.,True: The context suggests that Flii reduces fibroblast proliferation.
Tamoxifen,fibroblast proliferation,neg,direct,29325937,"Tamoxifen , a synthetic nonsteroidal antiestrogen used in breast cancer, is also effective in inhibiting fibroblast proliferation via downregulation of transforming growth factor-1Î².",True - Tamoxifen has been shown to reduce fibroblast proliferation.,True: The context suggests that Tamoxifen reduces fibroblast proliferation.
